分类: 央视频道🇨🇳, 名称: CGTN西班牙语, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1258 ms, 最高速率: 0.59 M/s, 平均速率: 0.00 M/s, 最高分辨率: 854x480, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 306 ms, 最高速率: 3.67 M/s, 平均速率: 2.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN阿拉伯语, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 1449 ms, 最高速率: 0.56 M/s, 平均速率: 0.00 M/s, 最高分辨率: 854x480, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN纪录, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 227 ms, 最高速率: 3.20 M/s, 平均速率: 2.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.49, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CETV1, 有效: 6, IPv4: 102, IPv6: 0, 最小延迟: 45 ms, 最高速率: 6.79 M/s, 平均速率: 3.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CETV2, 有效: 3, IPv4: 65, IPv6: 0, 最小延迟: 15 ms, 最高速率: 9.58 M/s, 平均速率: 2.72 M/s, 最高分辨率: 1280x720, 平均帧率: 36.67, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CETV4, 有效: 2, IPv4: 78, IPv6: 0, 最小延迟: 46 ms, 最高速率: 6.41 M/s, 平均速率: 6.16 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 广东卫视, 有效: 33, IPv4: 100, IPv6: 0, 最小延迟: 49 ms, 最高速率: 97.26 M/s, 平均速率: 18.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.24, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 浙江卫视, 有效: 23, IPv4: 89, IPv6: 0, 最小延迟: 16 ms, 最高速率: 80.06 M/s, 平均速率: 20.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 湖南卫视, 有效: 28, IPv4: 87, IPv6: 0, 最小延迟: 52 ms, 最高速率: 94.48 M/s, 平均速率: 21.16 M/s, 最高分辨率: 3840x2160, 平均帧率: 44.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 北京卫视, 有效: 24, IPv4: 86, IPv6: 0, 最小延迟: 53 ms, 最高速率: 93.86 M/s, 平均速率: 22.14 M/s, 最高分辨率: 3840x2160, 平均帧率: 39.13, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 湖北卫视, 有效: 22, IPv4: 74, IPv6: 0, 最小延迟: 66 ms, 最高速率: 75.23 M/s, 平均速率: 22.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 黑龙江卫视, 有效: 19, IPv4: 68, IPv6: 0, 最小延迟: 57 ms, 最高速率: 93.69 M/s, 平均速率: 28.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 安徽卫视, 有效: 19, IPv4: 75, IPv6: 0, 最小延迟: 54 ms, 最高速率: 84.54 M/s, 平均速率: 25.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.19, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 重庆卫视, 有效: 18, IPv4: 74, IPv6: 0, 最小延迟: 45 ms, 最高速率: 79.94 M/s, 平均速率: 30.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.21, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 东方卫视, 有效: 22, IPv4: 84, IPv6: 0, 最小延迟: 63 ms, 最高速率: 86.20 M/s, 平均速率: 24.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.28, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 东南卫视, 有效: 17, IPv4: 73, IPv6: 0, 最小延迟: 13 ms, 最高速率: 112.86 M/s, 平均速率: 36.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 甘肃卫视, 有效: 14, IPv4: 50, IPv6: 0, 最小延迟: 50 ms, 最高速率: 93.81 M/s, 平均速率: 42.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 广西卫视, 有效: 17, IPv4: 62, IPv6: 0, 最小延迟: 52 ms, 最高速率: 99.95 M/s, 平均速率: 41.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 贵州卫视, 有效: 20, IPv4: 65, IPv6: 0, 最小延迟: 54 ms, 最高速率: 95.53 M/s, 平均速率: 30.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 46.88, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 海南卫视, 有效: 13, IPv4: 63, IPv6: 0, 最小延迟: 57 ms, 最高速率: 91.65 M/s, 平均速率: 38.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 河北卫视, 有效: 18, IPv4: 74, IPv6: 0, 最小延迟: 13 ms, 最高速率: 79.91 M/s, 平均速率: 30.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 河南卫视, 有效: 19, IPv4: 82, IPv6: 0, 最小延迟: 59 ms, 最高速率: 93.82 M/s, 平均速率: 43.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 吉林卫视, 有效: 15, IPv4: 61, IPv6: 0, 最小延迟: 46 ms, 最高速率: 106.65 M/s, 平均速率: 32.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 江苏卫视, 有效: 24, IPv4: 87, IPv6: 0, 最小延迟: 53 ms, 最高速率: 98.39 M/s, 平均速率: 29.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 江西卫视, 有效: 22, IPv4: 76, IPv6: 0, 最小延迟: 53 ms, 最高速率: 106.28 M/s, 平均速率: 34.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.54, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 辽宁卫视, 有效: 21, IPv4: 77, IPv6: 0, 最小延迟: 50 ms, 最高速率: 104.75 M/s, 平均速率: 30.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 内蒙古卫视, 有效: 12, IPv4: 57, IPv6: 0, 最小延迟: 54 ms, 最高速率: 98.65 M/s, 平均速率: 47.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.15, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 宁夏卫视, 有效: 13, IPv4: 59, IPv6: 0, 最小延迟: 59 ms, 最高速率: 86.51 M/s, 平均速率: 34.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 青海卫视, 有效: 14, IPv4: 62, IPv6: 0, 最小延迟: 57 ms, 最高速率: 75.37 M/s, 平均速率: 35.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 山东卫视, 有效: 25, IPv4: 79, IPv6: 0, 最小延迟: 59 ms, 最高速率: 91.25 M/s, 平均速率: 27.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.81, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 山西卫视, 有效: 8, IPv4: 45, IPv6: 0, 最小延迟: 53 ms, 最高速率: 87.51 M/s, 平均速率: 22.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 陕西卫视, 有效: 8, IPv4: 51, IPv6: 0, 最小延迟: 63 ms, 最高速率: 69.49 M/s, 平均速率: 17.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 四川卫视, 有效: 24, IPv4: 79, IPv6: 0, 最小延迟: 49 ms, 最高速率: 109.85 M/s, 平均速率: 35.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.54, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 深圳卫视, 有效: 25, IPv4: 86, IPv6: 0, 最小延迟: 60 ms, 最高速率: 91.50 M/s, 平均速率: 22.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.24, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 新疆卫视, 有效: 13, IPv4: 59, IPv6: 0, 最小延迟: 53 ms, 最高速率: 81.16 M/s, 平均速率: 38.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.86, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 云南卫视, 有效: 21, IPv4: 71, IPv6: 0, 最小延迟: 56 ms, 最高速率: 89.42 M/s, 平均速率: 32.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.86, 视频编解码器: h264, 音频编解码器: mp2
